_id,singkat,hasil
3379,taksuka,tidak suka
3380,taktau,tidak tau
3381,tanggalny,tanggalnya
3382,tanggane,tetangganya
3383,tangi,bangun
3384,tangkep,tangkap
3385,tangkiny,tangkinya
3386,tanguh,tangguh
3387,tangung,tanggung
3388,tanks,terimakasih
3389,tanye,tanya
3390,tar,nanti
3391,tasih,masih
3392,taudah,tau dah
3393,taudeh,tau dah
3394,taugak,tau tidak
3395,taun,tahun
3396,taunan,tahunan
3397,taunih,tau nih
3398,tauny,taunya
3399,td,tadi
3400,tdaftar,terdaftar
3401,tdak,tidak
3402,tdi,tadi
3403,tdiny,tadinya
3404,tdinya,tadinya
3405,tdk,tidak
3406,tebakar,terbakar
3407,tebel,tebal
3408,tebengkalai,terbengkalai
3409,tegoran,teguran
3410,tejual,terjual
3411,tekape,Tempat Kejadian Perkara
3412,tekok,tanya
3413,tekon,tanya
3414,telfon,telepon
3415,telimakacih,terimakasih
3416,telp,telepon
3417,telpon,telepon
3418,telu,tiga
3419,temn,teman
3420,tenks,terimakasih
3421,tenkyu,terimakasih
3422,tentuin,tentukan
3423,terbnyak,terbanyak
3424,tereak,teriak
3425,terpangang,terpanggang
3426,tetep,tetap
3427,teteup,tetap
3428,teu,tidak
3429,tga,tega
3430,tgah,tengah
3431,tgantung,tergantung
3432,tggal,tanggal
3433,tggalan,tanggalan
3434,tggi,tinggi
3435,tggl,tanggal
3436,tggu,tunggu
3437,tgihan,tagihan
3438,tgjawab,tanggungjawab
3439,tgkat,tingkat
3440,tgl,tanggal
3441,tgn,tangan
3442,tgs,tugas
3443,thanks,terimakasih
3444,thanx,terimakasih
3445,they,mereka
3446,thn,tahun
3447,thx,terimakasih
3448,tidor,tidur
3449,tiker,tikar
3450,time,waktu
3451,timnas,tim nasional
3452,tingal,tinggal
3453,tingalen,tinggalkan saja
3454,tingalin,tinggalkan
3455,tinggl,tinggal
3456,tingi,tinggi
3457,tjawab,terjawab
3458,tjd,terjadi
3459,tkejut,terkejut
3460,tkg,tukang
3461,tki,tenaga kerja Idonesia
3462,tkp,Tempat Kejadian Perkara
3463,tkpaham,tidak paham
3464,tkpe,Tempat Kejadian Perkara
3465,tks,terimakasih
3466,tku,beli
3467,tkut,takut
3468,tkutnya,takutnya
3469,tlah,telah
3470,tlanjur,terlanjur
3471,Tlf,telepon
3472,tlg,tolong
3473,tlh,telah
3474,tlng,tolong
3475,tlong,tolong
3476,tlor,telor
3477,tlp,telepon
3478,tlpn,telepon
3479,tlpnan,teleponan
3480,tman,teman
3481,tmbah,tambah
3482,tmben,tumben
3483,tmbh,tambah
3484,tmbhan,tambahan
3485,tmbhn,tambahan
3486,tmen,teman
3487,tmenan,berteman
3488,tmenya,temannya
3489,tmn,teman
3490,tmnin,temani
3491,tmnny,temannya
3492,tmnnya,temannya
3493,tmpat,tempat
3494,tmpat2,tempat-tempat
3495,tmpatny,tempatnya
3496,tmpt,tempat
3497,tmsk,termasuk
3498,tmt,tamat
3499,tmu,temu
3500,tmukn,temukan
3501,tnang,tenang
3502,tndk,tindak
3503,tndng,tanding
3504,tng,tenang
3505,tngah,tengah
3506,tngal,tinggal
3507,tngerang,tangerang
3508,tnggal,tinggal
3509,tnggi,tinggi
3510,tnggl,tinggal
3511,tnggu,tunggu
3512,tnggung,tanggung
3513,tngh,tengah
3514,tngi,tinggi
3515,tngkap,tangkap
3516,tngkrongan,tongkrongan
3517,tngl,tinggal
3518,tngn,tangan
3519,tngrng,tangerang
3520,tngu,tunggu
3521,tnp,tanpa
3522,tnpa,tanpa
3523,tntu,tentu
3524,tny,tanya
3525,tnya,tanya
3526,tnyaen,tanyakan
3527,tnye,tanya
3528,tnykan,tanyakan
3529,tnyt,ternyata
3530,to,untuk
3531,today,hari ini
3532,tonight,malam ini
3533,tp,tetapi
3534,tpi,tapi
3535,tpt,tepat
3536,tq,terimakasih
3537,trbaik,terbaik
3538,trbang,terbang
3539,trbaru,terbaru
3540,trbng,terbang
3541,trbntuk,terbentuk
3542,trbnyk,terbanyak
3543,trbuat,terbuat
3544,trcela,tercela
3545,tresno,suka
3546,trf,tarif
3547,trget,target
3548,trgntung,tergantung
3549,trguling,terguling
3550,trhambat,terhambat
3551,trhormat,terhormat
3552,trhrmat,terhormat
3553,triak,teriak
3554,trjd,terjadi
3555,trjual,terjual
3556,trkait,terkait
3557,trkenal,terkenal
3558,trkhir,terakhir
3559,trktir,traktir
3560,trlalu,terlalu
3561,trlanjur,terlanjur
3562,trlihat,terlihat
3563,trllu,terlalu
3564,trlu,terlalu
3565,trm,terima
3566,trmasuk,termasuk
3567,trminal,terminal
3568,trminat,terminat
3569,trmksi,terimakasih
3570,trmsk,termasuk
3571,trnsaksi,transaksi
3572,trnsksi,transaksi
3573,trnyata,ternyata
3574,trnyt,ternyata
3575,trptong,terpotong
3576,trpuji,terpuji
3577,trs,terus
3578,trserah,terserah
3579,trtentu,tertentu
3580,TRUE,benar
3581,trus,terus
3582,trust,terpercaya
3583,trutama,terutama
3584,truth,kebenaran
3585,try,mencoba
3586,trz,terus
3587,tsb,tersebut
3588,ttap,tetap
3589,ttapi,tetapi
3590,ttd,tanda tangan
3591,ttng,tentang
3592,ttpi,tetapi
3593,ttwa,tertawa
3594,tu,itu
3595,tuiter,twitter
3596,tuiteran,twitteran
3597,tuiterku,twitterku
3598,tuker,tukar
3599,tukeran,bertukar
3600,tukoke,belikan
3601,tukokne,belikan
3602,tukokno,belikan
3603,tukr,tukar
3604,tuku,beli
3605,tukuen,beli saja
3606,tungu,tunggu
3607,tungulah,tunggulah
3608,tunjukan,tunjukkan
3609,tunjukin,tunjukkan
3610,turu,tidur
3611,tv,televisi
3612,twet,tweet
3613,twit,tweet
3614,twiter,twitter
3615,twiteran,twitteran
3616,u,kamu
3617,u/,untuk
3618,ud,sudah
3619,uda,sudah
3620,udah,sudah
3621,Ude,sudah
3622,udeh,sudah
3623,udh,sudah
3624,uga,tidak
3625,ugak,tidak
3626,ujan,hujan
3627,uke,oke
3628,ulngn,ulangan
3629,ultah,ulang tahun
3630,ulth,ulang tahun
3631,uncle,paman
3632,unyu,lucu
3633,unyukan,lucukan
3634,utamain,utamakan
3635,utk,untuk
3636,vacation,liburan
3637,vidio,video
3638,w,saya
3639,wadh,aduh
3640,wadoh,aduh
3641,wadon,perempuan
3642,wadu,aduh
3643,waduh,aduh
3644,wae,saja
3645,wagub,wakil gubernur
3646,wait,tunggu
3647,walaupn,walaupun
3648,want,ingin
3649,wareg,kenyang
3650,warkop,warung kopi
3651,warteg,warung tegal
3652,wat,untuk
3653,web,situs
3654,website,situs
3655,wedok,perempuan
3656,wekday,weekday
3657,wekeend,akhir pekan
3658,wekend,akhir pekan
3659,wes,sudah
3660,what,apa
3661,when,kapan
3662,where,dimana
3663,while,ketika
3664,why,kenapa
3665,win,menang
3666,wis,sudah
3667,wkt,waktu
3668,wktu,waktu
3669,wktuny,waktunya
3670,wktunya,waktunya
3671,wnita,wanita
3672,woman,wanita
3673,women,wanita
3674,wonten,ada
3675,Wontene,yang ada
3676,words,kata
3677,work,bekerja
3678,world,dunia
3679,wrn,warna
3680,wrna,warna
3681,wtf,bangsat
3682,Wuedan,edan
3683,yaolo,Ya Allah
3684,yaoloh,Ya Allah
3685,Yaowoh,Ya Allah
3686,yaud,ya sudah
3687,Yauda,ya sudah
3688,yaudah,ya sudah
3689,Yaude,ya sudah
3690,yaudeh,ya sudah
3691,yaudh,ya sudah
3692,yawdah,ya sudah
3693,yawes,ya sudah
3694,yaweslah,ya sudahlah
3695,yawlloh,Ya Allah
3696,yawloh,Ya Allah
3697,Yawoh,Ya Allah
3698,Ydh,ya sudah
3699,year,tahun
3700,yearbok,buku tahunan
3701,yearbook,buku tahunan
3702,yegak,iya tidak
3703,yes,ya
3704,yg,yang
3705,yng,yang
3706,yo,ya
3707,yoi,ya
3708,you,kamu
3709,yowes,ya sudah
3710,yoweslah,ya sudahlah
3711,yowis,ya sudah
3712,yth,yang terhormat
3713,yudeh,ya sudah
3714,yudh,ya sudah
3715,ywd,ya sudah
3716,ywdah,ya sudah
3717,ywdh,ya sudah
3718,ywdhlh,ya sudahlah
3719,ywis,ya sudah
3720,rp,rupiah
